report_date,city,tavg,tmin,tmax,prcp,rhum,wspd
2023-03-02,Limerick,6.6,5.1,8.4,0.0,,13.2
2023-03-03,Cork,5.2,4.0,6.0,0.0,,10.5
2023-03-03,Dublin,5.2,4.7,7.4,0.2,,11.0
2023-03-03,Limerick,6.5,5.1,8.1,0.0,,9.0
2023-03-04,Cork,4.3,3.5,5.1,0.0,,10.8
2023-03-04,Dublin,3.9,4.1,5.7,0.0,,11.2
2023-03-04,Limerick,5.3,4.2,5.8,0.0,,8.1
2023-03-05,Cork,4.2,2.2,6.7,0.0,,12.2
2023-03-05,Dublin,5.2,2.7,10.3,0.0,,17.0
2023-03-05,Limerick,5.6,2.8,8.3,0.0,,10.2
2023-03-06,Cork,5.9,4.2,9.0,0.4,,17.6
2023-03-06,Dublin,4.6,3.8,7.7,6.5,,16.0
2023-03-06,Limerick,7.2,3.6,9.3,1.0,,16.2
2023-03-07,Cork,2.8,1.0,5.1,2.0,,18.8
2023-03-07,Dublin,0.9,-1.5,6.9,0.0,,11.8
2023-03-07,Limerick,3.0,0.7,6.1,2.0,,13.2
2023-03-08,Cork,1.2,0.4,2.2,11.9,,26.6
2023-03-08,Dublin,2.8,-1.3,5.5,5.8,,27.0
2023-03-08,Limerick,3.7,2.0,5.8,0.0,,19.3
2023-03-09,Cork,4.7,1.0,10.0,16.8,,28.6
2023-03-09,Dublin,2.2,2.0,3.7,32.6,,31.8
2023-03-09,Limerick,2.1,0.5,3.4,17.0,,26.2
2023-03-10,Cork,2.1,0.2,4.0,2.7,,21.4
2023-03-10,Dublin,1.1,-0.1,7.5,0.9,,16.5
2023-03-10,Limerick,2.7,-0.7,5.9,4.1,,13.8
2023-03-11,Cork,7.9,3.1,13.0,5.0,,21.8
2023-03-11,Dublin,3.9,-1.5,10.0,8.5,,17.2
2023-03-11,Limerick,6.9,1.0,12.2,13.0,,23.4
2023-03-12,Cork,9.3,6.7,11.0,9.9,,23.6
2023-03-12,Dublin,10.1,3.5,13.4,5.1,,19.7
2023-03-12,Limerick,10.3,7.0,13.3,2.0,,16.8
2023-03-13,Cork,8.8,3.7,12.0,13.3,,34.9
2023-03-13,Dublin,9.4,9.2,15.2,6.8,,23.9
2023-03-13,Limerick,9.3,4.6,12.6,7.9,,23.4
2023-03-14,Cork,4.8,1.2,8.6,0.1,,20.7
2023-03-14,Dublin,2.7,0.2,7.3,1.3,,19.0
2023-03-14,Limerick,4.7,1.3,8.0,2.8,,17.6
2023-03-15,Cork,7.8,2.5,10.0,28.8,,22.5
2023-03-15,Dublin,5.1,-1.0,12.1,6.8,,13.4
2023-03-15,Limerick,7.8,1.5,12.0,7.1,,18.6
2023-03-16,Cork,10.2,9.5,11.5,9.4,,27.8
2023-03-16,Dublin,11.8,3.7,15.2,0.0,,20.4
2023-03-16,Limerick,12.3,9.3,15.7,4.1,,19.7
2023-03-17,Cork,9.9,9.5,11.0,11.0,,20.6
2023-03-17,Dublin,9.7,7.3,13.8,0.8,,14.0
2023-03-17,Limerick,11.6,9.6,14.6,2.5,,16.2
2023-03-18,Cork,8.3,4.1,10.5,0.1,,21.3
2023-03-18,Dublin,8.4,6.4,11.6,1.1,,17.7
2023-03-18,Limerick,8.8,4.6,11.4,0.8,,16.8
2023-03-19,Cork,6.5,2.5,10.0,1.0,,15.2
2023-03-19,Dublin,5.9,1.9,11.9,3.3,,16.0
2023-03-19,Limerick,6.5,1.7,11.4,4.1,,12.8
2023-03-20,Cork,10.1,9.6,11.0,10.8,,24.5
2023-03-20,Dublin,12.0,6.4,16.0,0.3,,16.7
2023-03-20,Limerick,11.8,9.9,14.4,2.8,,17.2
2023-03-21,Cork,9.4,7.7,10.7,25.1,,31.5
2023-03-21,Dublin,10.7,9.5,13.8,2.9,,21.2
2023-03-21,Limerick,10.4,8.9,11.8,5.3,,23.6
2023-03-22,Cork,7.3,5.1,9.7,7.3,,27.6
2023-03-22,Dublin,9.1,6.3,13.5,2.0,,26.8
