report_date,hospital,region,lag7_used,pred_hosp
2025-11-07,National Orthopaedic Hospital Cappagh,HSE Dublin & North East,0.0,0.19001632751847808
2025-11-07,Nenagh Hospital,HSE West & North West,0.0,1.4941433456012545
2025-11-07,Our Lady of Lourdes Hospital,HSE Dublin & North East,0.0,0.0
2025-11-07,Our Lady's Hospital Navan,HSE Dublin & North East,3.0,2.2612159912825844
2025-11-07,Portiuncula University Hospital,HSE West & North West,0.0,0.0
2025-11-07,Roscommon University Hospital,HSE West & North West,0.0,0.282374283060399
2025-11-07,Sligo University Hospital,HSE West & North West,5.0,0.0
2025-11-07,South Infirmary Victoria University Hospital,HSE South & South East,0.0,0.0
2025-11-07,St Luke's General Hospital Kilkenny,HSE South & South East,7.0,4.216075431802523
2025-11-07,St. Columcille's Hospital,HSE Dublin & North East,0.0,0.0
2025-11-07,St. James's Hospital,HSE Dublin & Midlands,25.0,15.965776007193599
2025-11-07,St. John's Hospital Limerick,HSE West & North West,0.0,1.5364341885720174
2025-11-07,St. Luke's Radiation Oncology Network,HSE Dublin & North East,0.0,0.013423639221295858
2025-11-07,St. Michael's Hospital,HSE Dublin & North East,0.0,0.0
2025-11-07,St. Vincent's University Hospital,HSE Dublin & North East,14.0,1.0417051588343789
2025-11-07,Tallaght University Hospital,HSE Dublin & Midlands,0.0,0.0
2025-11-07,Tipperary University Hospital,HSE South & South East,5.0,1.3687884297961164
2025-11-07,UH Kerry,HSE South & South East,9.0,0.3039901494479036
2025-11-07,UH Limerick,HSE West & North West,30.0,7.465932287521603
2025-11-07,UH Waterford,HSE South & South East,0.0,0.08726574113422014
2025-11-07,Wexford General Hospital,HSE South & South East,12.0,8.473600065767467
2025-11-08,CHI at Tallaght,Dublin Midlands,0.0,1.5057107120870636
2025-11-08,CHI at Temple Street,HSE Dublin & North East,0.0,0.0
2025-11-08,Cavan General Hospital,HSE Dublin & North East,0.0,0.0
2025-11-08,Connolly Hospital,Dublin North East,1.0,2.54229183511939
2025-11-08,Cork University Hospital,South / South-West,29.0,14.556454419748315
2025-11-08,Letterkenny University Hospital,West / North-West,5.0,0.0
2025-11-08,Louth County Hospital,HSE Dublin & North East,0.0,0.1430003219460172
2025-11-08,MRH Mullingar,HSE Dublin & Midlands,9.0,6.215695273159168
2025-11-08,MRH Portlaoise,HSE Dublin & Midlands,4.0,1.8058662894581627
2025-11-08,MRH Tullamore,HSE Dublin & Midlands,0.0,0.10020135621605775
2025-11-08,Mallow General Hospital,HSE South & South East,0.0,0.0
2025-11-08,Mater Misericordiae University Hospital,Dublin North East,0.0,0.0
2025-11-08,Mayo University Hospital,HSE West & North West,5.0,0.0
2025-11-08,Mercy University Hospital,HSE South & South East,7.0,0.0
2025-11-08,Naas General Hospital,Dublin Midlands,5.0,1.3809328392995286
2025-11-08,National Orthopaedic Hospital Cappagh,HSE Dublin & North East,0.0,0.19001632751847808
2025-11-08,Nenagh Hospital,HSE West & North West,0.0,1.4941433456012545
2025-11-08,Our Lady of Lourdes Hospital,HSE Dublin & North East,0.0,0.0
2025-11-08,Our Lady's Hospital Navan,HSE Dublin & North East,0.0,0.0
2025-11-08,Portiuncula University Hospital,HSE West & North West,1.0,0.0
2025-11-08,Roscommon University Hospital,HSE West & North West,0.0,0.282374283060399
2025-11-08,Sligo University Hospital,HSE West & North West,1.0,0.0
2025-11-08,South Infirmary Victoria University Hospital,HSE South & South East,0.0,0.0
2025-11-08,St Luke's General Hospital Kilkenny,HSE South & South East,0.0,0.0
2025-11-08,St. Columcille's Hospital,HSE Dublin & North East,0.0,0.0
2025-11-08,St. James's Hospital,HSE Dublin & Midlands,2.0,0.0
2025-11-08,St. John's Hospital Limerick,HSE West & North West,0.0,1.5364341885720174
2025-11-08,St. Luke's Radiation Oncology Network,HSE Dublin & North East,0.0,0.013423639221295858
2025-11-08,St. Michael's Hospital,HSE Dublin & North East,0.0,0.0
2025-11-08,St. Vincent's University Hospital,HSE Dublin & North East,5.0,0.0
2025-11-08,Tallaght University Hospital,HSE Dublin & Midlands,0.0,0.0
2025-11-08,Tipperary University Hospital,HSE South & South East,3.0,0.0
2025-11-08,UH Kerry,HSE South & South East,19.0,10.303990149447904
2025-11-08,UH Limerick,HSE West & North West,21.0,0.0
2025-11-08,UH Waterford,HSE South & South East,0.0,0.08726574113422014
2025-11-08,Wexford General Hospital,HSE South & South East,2.0,0.0
2025-11-09,CHI at Tallaght,Dublin Midlands,1.0,2.5057107120870636
2025-11-09,CHI at Temple Street,HSE Dublin & North East,1.0,0.0
2025-11-09,Cavan General Hospital,HSE Dublin & North East,7.0,3.9507239779393832
2025-11-09,Connolly Hospital,Dublin North East,0.0,1.5422918351193902
2025-11-09,Cork University Hospital,South / South-West,14.0,0.0
2025-11-09,Letterkenny University Hospital,West / North-West,9.0,2.6369970850972724
2025-11-09,Louth County Hospital,HSE Dublin & North East,0.0,0.1430003219460172
2025-11-09,MRH Mullingar,HSE Dublin & Midlands,16.0,13.215695273159168
2025-11-09,MRH Portlaoise,HSE Dublin & Midlands,6.0,3.8058662894581627
2025-11-09,MRH Tullamore,HSE Dublin & Midlands,0.0,0.10020135621605775
2025-11-09,Mallow General Hospital,HSE South & South East,0.0,0.0
2025-11-09,Mater Misericordiae University Hospital,Dublin North East,0.0,0.0
2025-11-09,Mayo University Hospital,HSE West & North West,9.0,2.4714932713454685
2025-11-09,Mercy University Hospital,HSE South & South East,1.0,0.0
2025-11-09,Naas General Hospital,Dublin Midlands,9.0,5.380932839299529
2025-11-09,National Orthopaedic Hospital Cappagh,HSE Dublin & North East,0.0,0.19001632751847808
2025-11-09,Nenagh Hospital,HSE West & North West,0.0,1.4941433456012545
2025-11-09,Our Lady of Lourdes Hospital,HSE Dublin & North East,5.0,0.0
2025-11-09,Our Lady's Hospital Navan,HSE Dublin & North East,0.0,0.0
2025-11-09,Portiuncula University Hospital,HSE West & North West,1.0,0.0
2025-11-09,Roscommon University Hospital,HSE West & North West,0.0,0.282374283060399
2025-11-09,Sligo University Hospital,HSE West & North West,2.0,0.0
2025-11-09,South Infirmary Victoria University Hospital,HSE South & South East,0.0,0.0
2025-11-09,St Luke's General Hospital Kilkenny,HSE South & South East,8.0,5.216075431802523
2025-11-09,St. Columcille's Hospital,HSE Dublin & North East,0.0,0.0
2025-11-09,St. James's Hospital,HSE Dublin & Midlands,3.0,0.0
2025-11-09,St. John's Hospital Limerick,HSE West & North West,0.0,1.5364341885720174
2025-11-09,St. Luke's Radiation Oncology Network,HSE Dublin & North East,0.0,0.013423639221295858
2025-11-09,St. Michael's Hospital,HSE Dublin & North East,0.0,0.0
2025-11-09,St. Vincent's University Hospital,HSE Dublin & North East,15.0,2.041705158834379
2025-11-09,Tallaght University Hospital,HSE Dublin & Midlands,0.0,0.0
2025-11-09,Tipperary University Hospital,HSE South & South East,7.0,3.3687884297961164
2025-11-09,UH Kerry,HSE South & South East,20.0,11.303990149447904
2025-11-09,UH Limerick,HSE West & North West,20.0,0.0
2025-11-09,UH Waterford,HSE South & South East,0.0,0.08726574113422014
2025-11-09,Wexford General Hospital,HSE South & South East,8.0,4.473600065767467
2025-11-10,CHI at Tallaght,Dublin Midlands,0.0,1.5057107120870636
2025-11-10,CHI at Temple Street,HSE Dublin & North East,0.0,0.0
2025-11-10,Cavan General Hospital,HSE Dublin & North East,15.0,11.950723977939383
2025-11-10,Connolly Hospital,Dublin North East,3.0,4.54229183511939
2025-11-10,Cork University Hospital,South / South-West,32.0,17.556454419748313
2025-11-10,Letterkenny University Hospital,West / North-West,12.0,5.636997085097272
2025-11-10,Louth County Hospital,HSE Dublin & North East,0.0,0.1430003219460172
2025-11-10,MRH Mullingar,HSE Dublin & Midlands,22.0,19.215695273159167
2025-11-10,MRH Portlaoise,HSE Dublin & Midlands,2.0,0.0
2025-11-10,MRH Tullamore,HSE Dublin & Midlands,0.0,0.10020135621605775
2025-11-10,Mallow General Hospital,HSE South & South East,0.0,0.0
2025-11-10,Mater Misericordiae University Hospital,Dublin North East,5.0,0.0
2025-11-10,Mayo University Hospital,HSE West & North West,16.0,9.47149327134547
2025-11-10,Mercy University Hospital,HSE South & South East,9.0,0.4055204661493068
2025-11-10,Naas General Hospital,Dublin Midlands,9.0,5.380932839299529
2025-11-10,National Orthopaedic Hospital Cappagh,HSE Dublin & North East,0.0,0.19001632751847808
2025-11-10,Nenagh Hospital,HSE West & North West,0.0,1.4941433456012545
2025-11-10,Our Lady of Lourdes Hospital,HSE Dublin & North East,0.0,0.0
2025-11-10,Our Lady's Hospital Navan,HSE Dublin & North East,0.0,0.0
2025-11-10,Portiuncula University Hospital,HSE West & North West,7.0,5.253176656288809
2025-11-10,Roscommon University Hospital,HSE West & North West,0.0,0.282374283060399
2025-11-10,Sligo University Hospital,HSE West & North West,4.0,0.0
2025-11-10,South Infirmary Victoria University Hospital,HSE South & South East,0.0,0.0
2025-11-10,St Luke's General Hospital Kilkenny,HSE South & South East,24.0,21.216075431802523
2025-11-10,St. Columcille's Hospital,HSE Dublin & North East,0.0,0.0
2025-11-10,St. James's Hospital,HSE Dublin & Midlands,11.0,1.9657760071935986
2025-11-10,St. John's Hospital Limerick,HSE West & North West,0.0,1.5364341885720174
2025-11-10,St. Luke's Radiation Oncology Network,HSE Dublin & North East,0.0,0.013423639221295858
2025-11-10,St. Michael's Hospital,HSE Dublin & North East,0.0,0.0
2025-11-10,St. Vincent's University Hospital,HSE Dublin & North East,42.0,29.04170515883438
2025-11-10,Tallaght University Hospital,HSE Dublin & Midlands,2.0,0.0
2025-11-10,Tipperary University Hospital,HSE South & South East,8.0,4.368788429796116
2025-11-10,UH Kerry,HSE South & South East,23.0,14.303990149447904
2025-11-10,UH Limerick,HSE West & North West,27.0,4.465932287521603
2025-11-10,UH Waterford,HSE South & South East,0.0,0.08726574113422014
2025-11-10,Wexford General Hospital,HSE South & South East,14.0,10.473600065767467
2025-11-11,CHI at Tallaght,Dublin Midlands,0.0,1.5057107120870636
2025-11-11,CHI at Temple Street,HSE Dublin & North East,0.0,0.0
2025-11-11,Cavan General Hospital,HSE Dublin & North East,15.0,11.950723977939383
2025-11-11,Connolly Hospital,Dublin North East,3.0,4.54229183511939
2025-11-11,Cork University Hospital,South / South-West,32.0,17.556454419748313
2025-11-11,Letterkenny University Hospital,West / North-West,12.0,5.636997085097272
2025-11-11,Louth County Hospital,HSE Dublin & North East,0.0,0.1430003219460172
2025-11-11,MRH Mullingar,HSE Dublin & Midlands,22.0,19.215695273159167
2025-11-11,MRH Portlaoise,HSE Dublin & Midlands,2.0,0.0
2025-11-11,MRH Tullamore,HSE Dublin & Midlands,0.0,0.10020135621605775
2025-11-11,Mallow General Hospital,HSE South & South East,0.0,0.0
2025-11-11,Mater Misericordiae University Hospital,Dublin North East,5.0,0.0
